"title" "teaser" "links" "date"
"37" "Angst vor Anrainern und verd<U+00C3><U+00A4>chtige Aschenbecher" "Wiens Raucherbetriebe f<U+00C3><U+00BC>rchten Einbu<U+00C3><U+009F>en, Stress mit Beh<U+00C3><U+00B6>rden  und einzelne schlie<U+00C3><U+009F>en sogar." "https://www.diepresse.com/5714102/Umsetzung_Angst-vor-Anrainern-und-verdaechtige-Aschenbecher?from=rss" 2019-10-29
"38" "Was schon Mick Jagger wusste" "Guter Name in den Tagen vor dem Rauchverbot: Das Hamburger Duo Die Cigaretten ver<U+00C3><U+00B6>ffentlicht bald sein Deb<U+00C3><U+00BC>talbum, Vibe Ride, mit Songs wie Egal und Yo Future!" "https://www.diepresse.com/5712344/Song-zum-Sonntag_Was-schon-Mick-Jagger-wusste?from=rss" 2019-10-25
"39" "Handys in Lokalen: Noch ein Verbot?" "Ab n<U+00C3><U+00A4>chster Woche gilt in <U+00C3><U+0096>sterreich das Rauchverbot in Lokalen. Bleibt es dabei oder werden k<U+00C3><U+00BC>nftig auch Handy-Nutzer aus Restaurants und Caf<U+00C3><U+00A9>s verbannt?" "https://www.diepresse.com/5711067/Gastronomie_Handys-in-Lokalen_Noch-ein-Verbot?from=rss" 2019-10-24
"40" "Rauchverbot: Wirte f<U+00C3><U+00BC>rchten  Polizeistaat" "Gastronomen kritisieren Kontrollen ab Mitternacht." "https://www.diepresse.com/5711716/Neues-Gesetz_Rauchverbot_Wirte-fuerchten-Polizeistaat?from=rss" 2019-10-24
"41" "Draghis Verm<U+00C3><U+00A4>chtnis und Straches Feminismus: Der Tag im R<U+00C3><U+00BC>ckblick" "Wir lassen den Tag Revue passieren, geben Tipps f<U+00C3><U+00BC>r den Abend und blicken auf morgen." "https://www.diepresse.com/5711600/Abendbriefing_Draghis-Vermaechtnis-und-Straches-Feminismus_Der?from=rss" 2019-10-24
"42" "Neos wollen L<U+00C3><U+00A4>rm-Sheriffs" "Konflikte mit Anrainern werden bef<U+00C3><U+00BC>rchtet." "https://www.diepresse.com/5711070/Rauchen_Neos-wollen-LaermSheriffs?from=rss" 2019-10-23
"43" "Wir geloben: Die Deb<U+00C3><U+00BC>tanten  im Parlament" "Am 29. September wurden die Machtverh<U+00C3><U+00A4>ltnisse im Parlament neu geordnet. Die Liste Jetzt ist raus, die Gr<U+00C3><U+00BC>nen drin  und die <U+00C3><U+0096>VP stellt 71 Mandate. Wer sind die Neuen im Nationalrat? F<U+00C3><U+00BC>nf Neomandatare im Portr<U+00C3><U+00A4>t." "https://www.diepresse.com/5709002/Nach-der-Wahl_Wir-geloben_Die-Debuetanten-im-Parlament?from=rss" 2019-10-21
"44" "Der Marathon der Brexit-Verhandler und der Ritt des Diktators: Der Tag im R<U+00C3><U+00BC>ckblick" "Wir lassen den Tag Revue passieren, geben Tipps f<U+00C3><U+00BC>r den Abend und blicken auf morgen." "https://www.diepresse.com/5707368/Abendbriefing_Der-Marathon-der-BrexitVerhandler-und-der-Ritt-des?from=rss" 2019-10-16
"45" "Richter: Rauchverbot auch in Nachtlokalen" "Der Verfassungsgerichtshof lehnte den Antrag mehrerer Gastronomen ab. <U+00C3><U+009C>berdies erkl<U+00C3><U+00A4>rten die H<U+00C3><U+00B6>chstrichter, konfessionelle Schulen d<U+00C3><U+00BC>rften gegen<U+00C3><U+00BC>ber anderen privaten bevorzugt werden." "https://www.diepresse.com/5707442/Verfassungsgerichtshof_Richter_Rauchverbot-auch-in-Nachtlokalen?from=rss" 2019-10-16
"46" "Rauchverbot: VfGH lehnt Antrag von Nachtgastronomen ab" "Dem Gesetzgeber sei nicht entgegen<U+00C2><U+00AD>zutreten, wenn er den Gesundheitsschutz h<U+00C3><U+00B6>her bewerte als die Interessen von Lokalbetreibern, argumentiert der Verfassungsgerichtshof." "https://www.diepresse.com/5707044/Gastronomie_Rauchverbot_VfGH-lehnt-Antrag-von-Nachtgastronomen-ab?from=rss" 2019-10-16
